ID,PAIS
2,USA
20,CAN
31,BHM
40,CUB
41,HAI
42,DOM
51,JAM
52,TRI
53,BAR
54,DMA
55,GRN
56,SLU
57,SVG
58,AAB
60,SKN
80,BLZ
70,MEX
90,GUA
91,HON
92,SAL
93,NIC
94,COS
95,PAN
100,COL
101,VEN
110,GUY
115,SUR
130,ECU
135,PER
140,BRA
145,BOL
150,PAR
155,CHL
160,ARG
165,URU
200,UK
205,IRE
210,NTH
211,BEL
212,LUX
220,FRN
221,MNC
223,LIE
225,SWZ
230,SPN
232,AND
235,POR
255,GMY
260,GFR
265,GDR
290,POL
300,AUH
305,AUS
310,HUN
315,CZE
316,CZR
317,SLO
325,ITA
331,SNM
338,MLT
339,ALB
345,SER
341,MNG
343,MAC
344,CRO
345,YUG
346,BOS
349,SLV
350,GRC
352,CYP
355,BUL
359,MLD
360,RUM
365,RUS
366,EST
367,LAT
368,LIT
369,UKR
370,BLR
371,ARM
372,GRG
373,AZE
375,FIN
380,SWD
385,NOR
390,DEN
395,ICE
402,CAP
403,STP
404,GNB
411,EQG
420,GAM
432,MLI
433,SEN
434,BEN
435,MAA
436,NIR
437,CDI
438,GUI
439,BFO
450,LBR
451,SIE
452,GHA
461,TOG
471,CAO
475,NIG
481,GAB
482,CEN
483,CHA
484,CON
490,DRC
500,UGA
501,KEN
510,TAZ
511,ZAN
516,BUI
517,RWA
520,SOM
522,DJI
530,ETH
531,ERI
540,ANG
541,MZM
551,ZAM
552,ZIM
553,MAW
560,SAF
563,TRA
564,OFS
565,NAM
570,LES
571,BOT
572,SWA
580,MAG
581,COM
590,MAS
591,SEY
600,MOR
615,ALG
616,TUN
620,LIB
625,SUD
630,IRN
640,TUR
645,IRQ
651,EGY
652,SYR
660,LEB
663,JOR
666,ISR
670,SAU
678,YAR
679,YEM
680,YPR
690,KUW
692,BAH
694,QAT
696,UAE
698,OMA
700,AFG
701,TKM
702,TAJ
703,KYR
704,UZB
705,KZK
710,CHN
711,TBT
712,MON
713,TAW
730,KOR
731,PRK
732,ROK
740,JPN
750,IND
760,BHU
770,PAK
771,BNG
775,MYA
780,SRI
790,NEP
781,MAD
800,THI
811,CAM
812,LAO
815,VNM
816,DRV
817,RVN
820,MAL
830,SIN
835,BRU
840,PHI
850,INS
860,ETM
900,AUL
910,PNG
920,NEW
935,VAN
940,SOL
950,FJI
983,MSI
986,PAL
987,FSM
990,WSM
